kanji,type,mean,spell
日曜日,noun/fukushi,Sunday, にちようび
夜,noun/fukushi,evening,よる
友人,noun,friend, ゆうじん
届く,verb,to reach; to touch,とどく
見る,verb,look; see; watch,みる
大声,noun,loud voice,おおこえ
上げる,verb,raise; elevate; give,あげる
秋,noun/fukushi,autumn,あき
頃,noun/adverb,time,ころ
仲の良い,Expression/keiyoshi,close,なかのよい
友達,noun,friend,ともだち
連中,noun,gang; company; lot; pack; those guy; group,れんちゅう
次々,fukushi/noun,in succession; one by one,つぎつぎ
彼女,pronoun/noun,she; her; girlfriend,かのじょ
作る,verb,make; produce; manufacture; build; construct,つくる
成功,noun,success,せいこう
一緒に,fukushi,together,いっしょに
遊ぶ,verb,play; enjoy oneself; have a good time,あそぶ
ひとり,noun/fukushi,being alone; unmarried; single,_
減る,verb,decrease,へる
焦る,verb,be in a hurry,あせる
気持ち,noun,feeling; thought; attitude,きもち
欲しい,keiyoshi,wanting,ほしい
言う,verb,say;declare,いう
ウソ,noun,lie,うそ
めちゃくちゃ,keiyoshi,extreme; senseless; reckless; wanton,
思う,verb,think,おもう
探す,verb,search,さがす
クリスマス,noun,Christmas​,くりすます
嬉しい,keiyoshi,happy;joyful;glad,うれしい
独り,noun/fukushi,being alone,ひとり
過ごす,verb,to pass; to spend (time); to support,すごす
家,noun,house; residence; family,いえ
のんびり,fukushi,at leisure; in a relaxed manner,_
テレビ,noun,television,てれび
観る,verb,see; look; watch,みる
俺,pronoun,I;me,おれ
耳,noun,ear; hearing; edge; crust,みみ
再び,fukushi,again; once more; a second time,ふたたび
馴染む,verb,become familiar with; fit in; adpat to one self,なじむ
着信音,noun,ringtone,ちゃくじおん
鳴る,verb,sound;ring;echo,なる
自慢,noun,pride,じまん
良く,fukushi,nicely,よく
届く,verb,reach,とどく
祝福,noun,blessing,しゅくふく
飽きる,verb,get tired of; lose instersted in,あきる
使う,verb,use; make use of; put to use,つかる
クラス,noun,class, くらす
連絡網,noun,contact network,れんらくもう
回る,verb,turn; resolve; visit someplace; function well; pass a certain time,まわる
方,noun,direction; way;side; type; field,ほう
全く,fukushi,really; truly; entirely; indeed,まったく
やり取り,noun,exchanging letter,やりとり
相手,noun,partner; other party; opponent,あいて
通知,noun,notify,つうち
許可,noun,permission,きょか
必要,noun/keiyoshi,necessary; needed,　ひつよう
不要,noun/keiyoshi,unnecessary;unneeded,ふよう
電話番号, noun, telephone number, でんわばんごう
一方的, keiyodoshi, one-sided; unilateral; arbitrary, いっぽうてき
送る, verb, send; transmit, おくる
アドレス, noun, address, あどれす
申請, noun, application; request; petition, しんせい
違う, verb, differ, ちがう
内容, noun, contents; matter; detail; import, ないよう
目, noun, eye, め
留まり, noun, stoping at; going further than, どまり
やすい, keiyoshi, cheap; calm; peaceful,_
既読, noun, already read, きどく
異なる, verb, disagree; differ;vary, ことなる
部分, noun, portion, ぶぶん
読む, verb, read, よむ
送り主, noun, sender, おくりめし
窓, noun, window, まど
外, noun, outside, そと
下さい, expressions, please, ください
雪, noun, snow, ゆき
積む, verb,pile up; to stack,つむ
誰,pronoun, who, だれ
表示, noun, display; representation, ひょうじ
登録,　noun, registration; accession; register; record, とうろく
名前, noun, name, なまえ
番号, noun,number, ばんごう
人違い, noun, mistaking one person to another, ひとちがい
可能性, noun, potentiality; possibility, かのせい
改めて, fukushi, another time;again; once again, あらためて
開ける, verb, open,　あける
冷たい, keiyoshi, cold, つめたい
空気, noun, air,くうき
気に入る, verb, to be delighted with, きにいる
来る, verb, to come,くる
降る, verb, to fall(from the sky), ふる
初雪, noun, the first snow, はつゆき
今年, noun/fukushi, this year, ことし
冬,noun/fukushi, winter, ふゆ
観測,noun,observation; opinion, かんそく
最も,fukushi,most; extreme,もっとも
押し寄せる,verb,move toward; advance on,おしよせる
天気,noun,weather,てんき
予報,noun,forcast; prediction,よほう
積もる, verb,pile up; accumulate,つもる
ゆっくり,fukushi,slowly; unhurried,_
空, noun, sky, そら
情緒,noun,emotion;atmosphere,じょうしょ
手のひら, noun , palm of the hand, ての
ひら, noun , flat surface, _
触れる , verb, touch,ふれる
溶ける,verb, melt,とせる
消える,verb, disappear; vanish,きえる
画面, noun, screen,がめん
遅く, fukushi,late,あそく
早く, fukushi, early; quick,はやく
伝える, verb , report; transmit; tell,つたえる
知る,verb , know; be aware; learn; sense; notice; remember, しる
本当に, fukushi,really; truly,ほんとうに
心当たり,noun,having in mind; happen to know of; idea,こころあたり
文面,noun, content of letter(books;etc...),ぶんめん
不審,noun/keiyodoshi,incomplete understanding; doubt; question; distrust; suspicion; strangeness; infidelity​,ふしん
期待感,noun,sense of anticipation; feeling of expectation,きたいかん
勝つ, verb, win; gain victory, かつ
時,noun,time;hour;moment, とき
小さな,rentaishi,small;little,ちいさな
歩幅,noun, step,ほはば
少し,noun/fukushi,small;little;something,すこし
前屈み, noun, slouch;lazyness,まえかがみ
歩く, verb, walk, あるく
転び,noun,falling; failure,ころび
